ion_type,canonical_smiles,source_properties,source_split_roles,source_files
anion,CC(=O)[O-],co2;tox;vis,test;training;validation,test_group_co2.csv;test_group_tox.csv;test_group_vis.csv;train_1_group_co2.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_1_group_tox.csv;val_1_group_vis.csv;val_2_group_co2.csv;val_2_group_tox.csv;val_2_group_vis.csv;val_3_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
anion,CC(C)(C)C(=O)[O-],co2,test,test_group_co2.csv
anion,CC(C)C(=O)[O-],co2;tox;vis,training;validation,train_1_group_co2.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_tox.csv;train_5_group_co2.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_2_group_tox.csv;val_4_group_co2.csv;val_4_group_vis.csv
anion,CC(C)C(N)C(=O)[O-],co2;vis,training;validation,train_1_group_co2.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_4_group_vis.csv;val_5_group_co2.csv
anion,CC(C)CC(N)C(=O)[O-],vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
anion,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C,co2;vis,training;validation,train_1_group_co2.csv;train_1_group_vis.csv;train_3_group_co2.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_vis.csv;val_2_group_co2.csv;val_2_group_vis.csv
anion,CC(N)C(=O)[O-],co2;vis,training;validation,train_1_group_co2.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_3_group_vis.csv;val_4_group_vis.csv;val_5_group_co2.csv
anion,CC(O)C(=O)[O-],co2;tox;vis,test;training;validation,test_group_co2.csv;train_1_group_co2.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_2_group_vis.csv;val_3_group_tox.csv;val_4_group_co2.csv;val_4_group_tox.csv;val_4_group_vis.csv;val_5_group_co2.csv
anion,CC(O)C(N)C(=O)[O-],vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv;val_5_group_vis.csv
anion,CC(Oc1ccc(Cl)cc1Cl)C(=O)[O-],vis,test;training;validation,test_group_vis.csv;train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
anion,CC1(C(=O)[O-])CCCN1,co2,training;validation,train_1_group_co2.csv;train_3_group_co2.csv;train_4_group_co2.csv;train_5_group_co2.csv;val_2_group_co2.csv
anion,CC1=CC(=O)[N-]S(=O)(=O)O1,co2;tox,training;validation,train_1_group_co2.csv;train_1_group_tox.csv;train_2_group_co2.csv;train_2_group_tox.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_4_group_co2.csv;train_4_group_tox.csv;train_5_group_tox.csv;val_1_group_tox.csv;val_3_group_tox.csv;val_4_group_tox.csv;val_5_group_co2.csv;val_5_group_tox.csv
anion,CCC(=O)[O-],co2;tox;vis,test;training;validation,test_group_vis.csv;train_1_group_co2.csv;train_1_group_vis.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_1_group_tox.csv;val_1_group_vis.csv;val_2_group_co2.csv;val_3_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
anion,CCC(C)C(NC(C)=O)C(=O)[O-],vis,training;validation,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
anion,CCC(CC)C(=O)[O-],tox,training;validation,train_1_group_tox.csv;train_2_group_tox.csv;train_3_group_tox.csv;train_4_group_tox.csv;val_5_group_tox.csv
anion,CCCC(=O)[O-],co2;tox;vis,test;training;validation,test_group_vis.csv;train_1_group_co2.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_2_group_co2.csv;val_2_group_tox.csv;val_2_group_vis.csv;val_3_group_tox.csv;val_3_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
anion,CCCCC(=O)[O-],tox;vis,training;validation,train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_1_group_tox.csv;val_1_group_vis.csv;val_3_group_tox.csv;val_3_group_vis.csv;val_5_group_vis.csv
anion,CCCCC(CC)CCC(=O)[O-],vis,test,test_group_vis.csv
anion,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],co2;vis,training;validation,train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_vis.csv;val_1_group_co2.csv;val_1_group_vis.csv;val_2_group_vis.csv
anion,CCCCCC(=O)[O-],tox;vis,test;training;validation,test_group_tox.csv;test_group_vis.csv;train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_2_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
anion,CCCCCCC(=O)[O-],vis,test,test_group_vis.csv
anion,CCCCCCCC(=O)[O-],tox;vis,test;training;validation,test_group_vis.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_5_group_tox.csv;val_5_group_vis.csv
anion,CCCCCCCCC=CCCCCCCCC(=O)[O-],vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv;val_5_group_vis.csv
anion,CCCCCCCCCC(=O)[O-],vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv
anion,CCCCCCCCCCCCOS(=O)(=O)[O-],tox;vis,training;validation,train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_tox.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_3_group_tox.csv;val_4_group_vis.csv
anion,CCCCCCCCCCCCOS(=O)(=O)c1ccccc1,co2,training;validation,train_2_group_co2.csv;train_3_group_co2.csv;train_4_group_co2.csv;train_5_group_co2.csv;val_1_group_co2.csv
anion,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,vis,training;validation,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
anion,CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-],vis,training;validation,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
anion,CCCCCCCCCCOS(=O)(=O)[O-],vis,training;validation,train_1_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv
anion,CCCCCCCCOS(=O)(=O)[O-],tox;vis,training;validation,train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_2_group_vis.csv;val_4_group_tox.csv;val_4_group_vis.csv
anion,CCCCCCCCP(=O)([O-])[O-],vis,test;training;validation,test_group_vis.csv;train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
anion,CCCCCCOS(=O)(=O)[O-],vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv
anion,CCCCCCP(=O)([O-])[O-],vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
anion,CCCCOS(=O)(=O)[O-],vis,training;validation,train_1_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv
anion,CCCCP(=O)([O-])O,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_2_group_vis.csv;val_5_group_vis.csv
anion,CCOP(=O)([O-])OCC,co2;vis,test;training;validation,test_group_co2.csv;test_group_vis.csv;train_1_group_co2.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_2_group_vis.csv;val_4_group_co2.csv;val_5_group_vis.csv
anion,CCOS(=O)(=O)[O-],co2;tox;vis,test;training;validation,test_group_co2.csv;test_group_vis.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_3_group_tox.csv;val_3_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
anion,CCP(=O)([O-])O,vis,test;training;validation,test_group_vis.csv;train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
anion,CCS(=O)(=O)[O-],vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_3_group_vis.csv
anion,COCC(=O)[O-],tox,training;validation,train_1_group_tox.csv;train_2_group_tox.csv;train_3_group_tox.csv;train_4_group_tox.csv;val_5_group_tox.csv
anion,COCCOCC(=O)[O-],tox,test,test_group_tox.csv
anion,COCCOCCOS(=O)(=O)[O-],co2;tox;vis,training;validation,train_1_group_co2.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_4_group_co2.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_3_group_tox.csv;val_3_group_vis.csv;val_5_group_co2.csv;val_5_group_tox.csv
anion,COP(=O)(O)OC,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_3_group_vis.csv;val_4_group_vis.csv
anion,COP(=O)([O-])OC,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_2_group_vis.csv;val_3_group_vis.csv
anion,COS(=O)(=O)O,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
anion,COS(=O)(=O)[O-],co2;tox;vis,test;training;validation,test_group_vis.csv;train_1_group_co2.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_1_group_co2.csv;val_1_group_tox.csv;val_1_group_vis.csv;val_2_group_co2.csv;val_2_group_vis.csv;val_3_group_co2.csv;val_3_group_tox.csv;val_3_group_vis.csv;val_4_group_co2.csv;val_4_group_tox.csv;val_4_group_vis.csv;val_5_group_co2.csv;val_5_group_vis.csv
anion,CO[P+](=O)[O-],vis,training;validation,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
anion,CO[PH](=O)[O-],co2,training;validation,train_1_group_co2.csv;train_2_group_co2.csv;train_3_group_co2.csv;train_5_group_co2.csv;val_4_group_co2.csv
anion,CP(=O)([O-])O,co2,training;validation,train_1_group_co2.csv;train_2_group_co2.csv;train_4_group_co2.csv;train_5_group_co2.csv;val_3_group_co2.csv
anion,CP(=O)([O-])[O-],vis,training;validation,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
anion,CS(=O)(=O)[O-],co2;tox;vis,test;training;validation,test_group_vis.csv;train_1_group_co2.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_2_group_co2.csv;val_2_group_tox.csv;val_2_group_vis.csv;val_3_group_co2.csv;val_3_group_tox.csv;val_3_group_vis.csv;val_5_group_vis.csv
anion,Cc1ccc(S(=O)(=O)O)cc1,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv
anion,Cc1ccc(S(=O)(=O)[O-])cc1,co2;tox;vis,training;validation,train_1_group_co2.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_1_group_co2.csv;val_1_group_tox.csv;val_1_group_vis.csv;val_2_group_tox.csv;val_2_group_vis.csv;val_3_group_co2.csv;val_3_group_tox.csv;val_3_group_vis.csv;val_4_group_vis.csv
anion,Cc1n[n-]cc1Br,vis,training;validation,train_1_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv
anion,Cc1nc([N+](=O)[O-])c[n-]1,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_3_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
anion,Cl[Fe-](Cl)(Cl)Br,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
anion,Cl[Fe-](Cl)(Cl)Cl,co2;vis,training;validation,train_1_group_co2.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_vis.csv;val_2_group_vis.csv;val_3_group_co2.csv
anion,Clc1n[n-]c2ccccc12,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
anion,Clc1nc[n-]c1Cl,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv
anion,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,co2,training;validation,train_2_group_co2.csv;train_3_group_co2.csv;train_4_group_co2.csv;train_5_group_co2.csv;val_1_group_co2.csv
anion,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,co2;tox,training;validation,train_1_group_co2.csv;train_2_group_co2.csv;train_2_group_tox.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_4_group_co2.csv;train_4_group_tox.csv;train_5_group_tox.csv;val_1_group_tox.csv;val_5_group_co2.csv
anion,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,co2;tox;vis,test;training;validation,test_group_tox.csv;test_group_vis.csv;train_1_group_co2.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_2_group_co2.csv;val_2_group_tox.csv;val_2_group_vis.csv;val_3_group_co2.csv;val_3_group_vis.csv;val_4_group_tox.csv;val_4_group_vis.csv;val_5_group_tox.csv;val_5_group_vis.csv
anion,FC(F)(F)[N-]C(F)(F)F,tox,training;validation,train_2_group_tox.csv;train_3_group_tox.csv;train_4_group_tox.csv;train_5_group_tox.csv;val_1_group_tox.csv
anion,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_5_group_vis.csv
anion,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_3_group_vis.csv
anion,F[B-](F)(F)C(F)(F)C(F)(F)F,vis,test;training;validation,test_group_vis.csv;train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_2_group_vis.csv;val_3_group_vis.csv
anion,F[B-](F)(F)C(F)(F)F,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
anion,F[B-](F)(F)F,co2;tox;vis,test;training;validation,test_group_co2.csv;test_group_tox.csv;test_group_vis.csv;train_1_group_co2.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_1_group_co2.csv;val_1_group_tox.csv;val_1_group_vis.csv;val_2_group_co2.csv;val_2_group_tox.csv;val_2_group_vis.csv;val_3_group_co2.csv;val_3_group_tox.csv;val_3_group_vis.csv;val_4_group_co2.csv;val_4_group_tox.csv;val_4_group_vis.csv;val_5_group_co2.csv;val_5_group_tox.csv;val_5_group_vis.csv
anion,F[B-](F)(F)c1ccccc1,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv;val_3_group_vis.csv
anion,F[B-](F)F,co2,test,test_group_co2.csv
anion,F[P-](F)(F)(F)(F)F,co2;tox;vis,test;training;validation,test_group_co2.csv;test_group_tox.csv;test_group_vis.csv;train_1_group_co2.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_1_group_co2.csv;val_1_group_tox.csv;val_1_group_vis.csv;val_2_group_co2.csv;val_2_group_tox.csv;val_2_group_vis.csv;val_3_group_tox.csv;val_3_group_vis.csv;val_4_group_co2.csv;val_4_group_tox.csv;val_4_group_vis.csv;val_5_group_co2.csv;val_5_group_tox.csv;val_5_group_vis.csv
anion,Ic1cc[n-]n1,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv
anion,N#CC(=C=[N-])C#N,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_3_group_vis.csv;val_5_group_vis.csv
anion,N#CC(C#N)C#N,co2;vis,training;validation,train_1_group_co2.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_3_group_co2.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_vis.csv;val_2_group_vis.csv;val_4_group_co2.csv
anion,N#CN=C=[N-],vis,test;training;validation,test_group_vis.csv;train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_3_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
anion,N#CNC#N,vis,test;training;validation,test_group_vis.csv;train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_2_group_vis.csv;val_3_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
anion,N#CS[Al-3](SC#N)(SC#N)(SC#N)(SC#N)SC#N,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
anion,N#CS[Cu-3](SC#N)(SC#N)SC#N,vis,training;validation,train_1_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv
anion,N#CS[Hg-2](SC#N)(SC#N)SC#N,vis,training;validation,train_1_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv
anion,N#CS[Zn-2](SC#N)(SC#N)SC#N,vis,training;validation,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
anion,N#C[Au-]C#N,vis,training;validation,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
anion,N#C[B-](C#N)(C#N)C#N,co2;tox;vis,training;validation,train_1_group_co2.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_1_group_co2.csv;val_3_group_co2.csv;val_3_group_tox.csv;val_4_group_tox.csv;val_4_group_vis.csv;val_5_group_vis.csv
anion,N#C[C-](C#N)C#N,co2;vis,test;training;validation,test_group_vis.csv;train_1_group_co2.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_5_group_co2.csv;train_5_group_vis.csv;val_1_group_co2.csv;val_2_group_co2.csv;val_3_group_co2.csv;val_4_group_co2.csv;val_4_group_vis.csv
