cation,anion,SMILES
COCCC[NH+](C)CC1(O)CCCCNC1O,CC(C)=CC(=O)N1CCC(C)(C(=O)N2CCC(n3c(=O)[nH]c4cc(C(=O)[O-])ccc43)CC2)CC1,COCCC[NH+](C)CC1(O)CCCCNC1O.CC(C)=CC(=O)N1CCC(C)(C(=O)N2CCC(n3c(=O)[nH]c4cc(C(=O)[O-])ccc43)CC2)CC1
COc1cc(C(C)[NH+](C)CCC#N)cc2c1OCCO2,CC(NC(=O)C(C1CCCC1)N1C(=O)NC2(CCCCCC2)C1=O)(C(=O)[O-])C(F)(F)F,COc1cc(C(C)[NH+](C)CCC#N)cc2c1OCCO2.CC(NC(=O)C(C1CCCC1)N1C(=O)NC2(CCCCCC2)C1=O)(C(=O)[O-])C(F)(F)F
CC[NH+](CC)CCOc1sc2c(c1C)CC[NH2+]C2,O=C(Nc1ccc(OCc2cc[nH]c2)cc1F)c1cc2c(s1)CCCCC2C(=O)[O-],CC[NH+](CC)CCOc1sc2c(c1C)CC[NH2+]C2.O=C(Nc1ccc(OCc2cc[nH]c2)cc1F)c1cc2c(s1)CCCCC2C(=O)[O-]
CCC(CC)[NH+](C)CCN1CCC([NH+](C)C)CC1,COCC1(C(=O)[O-])CCCC(C)(C)C1,CCC(CC)[NH+](C)CCN1CCC([NH+](C)C)CC1.COCC1(C(=O)[O-])CCCC(C)(C)C1
CCCCc1c(C)nn(CC[NH+](C)CCC[NH+](CC)Cc2ccccc2)c1-c1ccccc1,COC(=O)c1ccc(-c2noc(CCC(=O)NC3CCCC(C(=O)[O-])C3)n2)cc1,CCCCc1c(C)nn(CC[NH+](C)CCC[NH+](CC)Cc2ccccc2)c1-c1ccccc1.COC(=O)c1ccc(-c2noc(CCC(=O)NC3CCCC(C(=O)[O-])C3)n2)cc1
COCCC[NH+](CCOC)CC1(C[NH2+]C2CC2)CCC(CC[NH+](C)C)C1,COc1ccc(CC(=O)N2CC(C)(C(=O)NCc3ccc(F)cc3)C3(CCCCC3)C2C(=O)[O-])cc1,COCCC[NH+](CCOC)CC1(C[NH2+]C2CC2)CCC(CC[NH+](C)C)C1.COc1ccc(CC(=O)N2CC(C)(C(=O)NCc3ccc(F)cc3)C3(CCCCC3)C2C(=O)[O-])cc1
COC[NH+](C)C[NH+](C)C,CCCCCCCCN(C(C)=O)C(C(=O)[O-])C(C)(Cc1ccccc1)C(OC(=O)CC(C)C)C(=O)[O-],COC[NH+](C)C[NH+](C)C.CCCCCCCCN(C(C)=O)C(C(=O)[O-])C(C)(Cc1ccccc1)C(OC(=O)CC(C)C)C(=O)[O-]
CN(CC(C)(C)C[NH3+])c1cc(F)ccc1[N+](=O)[O-],CC(C)(C)c1ccc(CCNC(=O)C(=O)Nc2ccc(CC(=O)[O-])cc2)cc1,CN(CC(C)(C)C[NH3+])c1cc(F)ccc1[N+](=O)[O-].CC(C)(C)c1ccc(CCNC(=O)C(=O)Nc2ccc(CC(=O)[O-])cc2)cc1
CCN(C(=O)CC[NH+](C)CCN1CCOCC1)c1ccc2occc2c1,CCC(C)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(=O)[O-])NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)[O-],CCN(C(=O)CC[NH+](C)CCN1CCOCC1)c1ccc2occc2c1.CCC(C)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(=O)[O-])NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)[O-]
Cc1cc([N+](=O)[O-])ccc1C[NH+](C)CC[NH+](C)C(=CON)[N+](C)(C)C,Cc1cn2c(C)c(CNCC[SH](CC(=O)[O-])CC(=O)[O-])sc2[nH+]1,Cc1cc([N+](=O)[O-])ccc1C[NH+](C)CC[NH+](C)C(=CON)[N+](C)(C)C.Cc1cn2c(C)c(CNCC[SH](CC(=O)[O-])CC(=O)[O-])sc2[nH+]1
CCCCCCCCC=C[NH+](CCN)CCCCCCC,CC(C)CC(CC(=O)[O-])C(=O)NC(C(=O)NC(CC(=O)[O-])C(=O)C(C)(C)C)C(C)C,CCCCCCCCC=C[NH+](CCN)CCCCCCC.CC(C)CC(CC(=O)[O-])C(=O)NC(C(=O)NC(CC(=O)[O-])C(=O)C(C)(C)C)C(C)C
C[NH+](CC=CBr)CC(O)CO,Cn1cc(S(=O)(=O)N2CCCCCCCCCCCCCC2)cc1C(=O)[O-],C[NH+](CC=CBr)CC(O)CO.Cn1cc(S(=O)(=O)N2CCCCCCCCCCCCCC2)cc1C(=O)[O-]
Cc1ccc(-c2cc(C(C)C)nc(NCC[NH+](C)C)n2)cc1,CC(C)CC([NH3+])C(=O)Cc1ccc(CCCC(=O)NC2CCC([NH2+]C(CC(=O)[O-])C(=O)N(CC(=O)[O-])CC(=O)[O-])CC2)cc1,Cc1ccc(-c2cc(C(C)C)nc(NCC[NH+](C)C)n2)cc1.CC(C)CC([NH3+])C(=O)Cc1ccc(CCCC(=O)NC2CCC([NH2+]C(CC(=O)[O-])C(=O)N(CC(=O)[O-])CC(=O)[O-])CC2)cc1
CC(C(=O)Nc1ccccc1)c1cc(O)ccc1C1CC(c2ccc(Cl)cc2)N(Cc2ccc(C#N)cc2)c2[nH+]c(Cl)sc21,CC(C)(C)c1cc(NC(=O)C(=O)Nc2cccc3ccccc23)cc(C(=O)[O-])c1,CC(C(=O)Nc1ccccc1)c1cc(O)ccc1C1CC(c2ccc(Cl)cc2)N(Cc2ccc(C#N)cc2)c2[nH+]c(Cl)sc21.CC(C)(C)c1cc(NC(=O)C(=O)Nc2cccc3ccccc23)cc(C(=O)[O-])c1
CCC[NH2+]C(C)(C)CC[NH+](C)CCOC,C=C(Nc1nn(C(C)N(C(C)=O)C2CCCCC2)c2c1C(=O)CC(C)(C)C2)C(=O)[O-],CCC[NH2+]C(C)(C)CC[NH+](C)CCOC.C=C(Nc1nn(C(C)N(C(C)=O)C2CCCCC2)c2c1C(=O)CC(C)(C)C2)C(=O)[O-]
CC[NH+](CC)C[NH+](CC)CC(O)C[NH+]1CCN(c2ccc(F)cc2)CC1,O=C(CC1CCCO1)NCC1(C(=O)[O-])CC1,CC[NH+](CC)C[NH+](CC)CC(O)C[NH+]1CCN(c2ccc(F)cc2)CC1.O=C(CC1CCCO1)NCC1(C(=O)[O-])CC1
CC(C)[NH2+]C(CN)c1ccc(F)cc1Br,O=C([O-])c1cc2sccc2c(I)c1O,CC(C)[NH2+]C(CN)c1ccc(F)cc1Br.O=C([O-])c1cc2sccc2c(I)c1O
C[NH+](CCNC(=O)Cc1ccccc1N)CCOC1CCCC1,CC(=O)c1cc(-c2oc3cc(=O)cc([O-])c-3c([O-])c2C(=O)OC2CCCCC2)cc(C)c1O,C[NH+](CCNC(=O)Cc1ccccc1N)CCOC1CCCC1.CC(=O)c1cc(-c2oc3cc(=O)cc([O-])c-3c([O-])c2C(=O)OC2CCCCC2)cc(C)c1O
CNc1c(C[NH+](CCC[NH+]2CCOCC2)CC[NH+](C)C)cc(Br)c2c1OC(C)(C)OC2=O,CCC(NC(=O)CCC(=O)[O-])C(=O)N1CCCC1N=O,CNc1c(C[NH+](CCC[NH+]2CCOCC2)CC[NH+](C)C)cc(Br)c2c1OC(C)(C)OC2=O.CCC(NC(=O)CCC(=O)[O-])C(=O)N1CCCC1N=O
CCC([NH+](C)C(C)O)C(C)(C)C,O=C([O-])C1(C(=O)[O-])CCC(c2ccccc2N2CCOCC2)N=C1Cl,CCC([NH+](C)C(C)O)C(C)(C)C.O=C([O-])C1(C(=O)[O-])CCC(c2ccccc2N2CCOCC2)N=C1Cl
COCCNc1cc(N)cc(OCC[NH+]2CCCC2)c1,O=C([O-])CNC(=O)C(=O)Nc1ccc(S(=O)(=O)[N-]c2cccs2)cc1,COCCNc1cc(N)cc(OCC[NH+]2CCCC2)c1.O=C([O-])CNC(=O)C(=O)Nc1ccc(S(=O)(=O)[N-]c2cccs2)cc1
CCC(C)C(C)[NH2+]C(CC[NH+](C)C)C(C)C,CCOC(CC)(CC)c1[nH]nc(CC)c1C(=O)[O-],CCC(C)C(C)[NH2+]C(CC[NH+](C)C)C(C)C.CCOC(CC)(CC)c1[nH]nc(CC)c1C(=O)[O-]
CC[NH+](CCCC[NH+](C)C)CCC(N)=S,CC1(C)COCCCCN(C(CC(=O)[O-])C(=O)[O-])C1,CC[NH+](CCCC[NH+](C)C)CCC(N)=S.CC1(C)COCCCCN(C(CC(=O)[O-])C(=O)[O-])C1
COc1ccc(CC[NH+](C)CCc2ccc3[nH]ccc3c2)cc1OC,CCCC1(C)C(=CC=C(C)c2cc(C)ccc2C)NC(=O)C1C(=O)[O-],COc1ccc(CC[NH+](C)CCc2ccc3[nH]ccc3c2)cc1OC.CCCC1(C)C(=CC=C(C)c2cc(C)ccc2C)NC(=O)C1C(=O)[O-]
CCCCCCCCCCCCC(CCC[NH+](C)C)c1cccc2ccccc12,CCc1nncn1CCN(CC[NH+](CC(=O)[O-])CC(=O)[O-])C(C)CCCCC(CC(=O)[O-])C(=O)[O-],CCCCCCCCCCCCC(CCC[NH+](C)C)c1cccc2ccccc12.CCc1nncn1CCN(CC[NH+](CC(=O)[O-])CC(=O)[O-])C(C)CCCCC(CC(=O)[O-])C(=O)[O-]
CCCn1cnnc1C[NH2+]C(C)C(=O)NC(CC1=CC=C(CC)CC1)C(O)c1ccc2c(c1)OCC(=O)N2C,CCC(C)=C(Cl)C(=O)[O-],CCCn1cnnc1C[NH2+]C(C)C(=O)NC(CC1=CC=C(CC)CC1)C(O)c1ccc2c(c1)OCC(=O)N2C.CCC(C)=C(Cl)C(=O)[O-]
CCC(C)[NH+](C)CCn1cc(Br)ccc1=O,CC1(CO)C=CC(=O)C2CC(C=CCCO)=CC=CC1C21CCN(c2ccccc2)C(CC2=C(O)C(C3CCCCC3)CCC2=O)CC(C(=O)[O-])C1,CCC(C)[NH+](C)CCn1cc(Br)ccc1=O.CC1(CO)C=CC(=O)C2CC(C=CCCO)=CC=CC1C21CCN(c2ccccc2)C(CC2=C(O)C(C3CCCCC3)CCC2=O)CC(C(=O)[O-])C1
CC1CC[NH+](CC(=O)N2CC([NH3+])CC(c3cccc(F)c3)C2)CC1,Cc1ccc(NC(=O)C(=O)NCC(C)CC(=O)[O-])cc1,CC1CC[NH+](CC(=O)N2CC([NH3+])CC(c3cccc(F)c3)C2)CC1.Cc1ccc(NC(=O)C(=O)NCC(C)CC(=O)[O-])cc1
Nc1cc(C=NCCC[NH+](Cc2ccccc2)Cc2ccccc2F)oc1C1=CC=C[NH2+]C1,CC(NC(=O)C1CCCCC1C(=O)[O-])c1ccc2c(c1)OCCO2,Nc1cc(C=NCCC[NH+](Cc2ccccc2)Cc2ccccc2F)oc1C1=CC=C[NH2+]C1.CC(NC(=O)C1CCCCC1C(=O)[O-])c1ccc2c(c1)OCCO2
C[NH+](CCc1ccccc1)CCn1c(=S)[nH]c2cc(I)ccc21,O=C([O-])C=CC(=O)NCCCOC(=O)NCc1cccc(C(=O)[O-])c1,C[NH+](CCc1ccccc1)CCn1c(=S)[nH]c2cc(I)ccc21.O=C([O-])C=CC(=O)NCCCOC(=O)NCc1cccc(C(=O)[O-])c1
COc1cc2c3oc(C)c(C)c3n(-c3ccc(OCCC[NH+](C)CCOCCO)n(OCCCCO)c3=O)c2cc1C,O=C([O-])Cc1cccc(COC2CCCCCC2)c1,COc1cc2c3oc(C)c(C)c3n(-c3ccc(OCCC[NH+](C)CCOCCO)n(OCCCCO)c3=O)c2cc1C.O=C([O-])Cc1cccc(COC2CCCCCC2)c1
CCC[NH+](CCCCl)CCC[NH+](CC)CC,COC(=O)CC1CCCCN1C(=O)C1CCCC1C(=O)[O-],CCC[NH+](CCCCl)CCC[NH+](CC)CC.COC(=O)CC1CCCCN1C(=O)C1CCCC1C(=O)[O-]
C[NH+](C)CCn1ncnc1Nc1ncc(Br)cc1Br,O=C([O-])C1C2C=CC(CC2)C1C(=O)Nc1nn[n-]n1,C[NH+](C)CCn1ncnc1Nc1ncc(Br)cc1Br.O=C([O-])C1C2C=CC(CC2)C1C(=O)Nc1nn[n-]n1
CCC([NH2+]C(C)CC[NH+](C)C)c1ccccc1,CC(Cc1ccco1)(NC(=O)[O-])C(=O)[O-],CCC([NH2+]C(C)CC[NH+](C)C)c1ccccc1.CC(Cc1ccco1)(NC(=O)[O-])C(=O)[O-]
OCC[NH+](CCc1ccccc1F)Cc1nc2ccccc2n1Cc1ccccc1,COOC(=O)CN(CC=C(C)C(=O)[O-])C(=O)OC(C)(C)C,OCC[NH+](CCc1ccccc1F)Cc1nc2ccccc2n1Cc1ccccc1.COOC(=O)CN(CC=C(C)C(=O)[O-])C(=O)OC(C)(C)C
CCn1cc(C)[nH+]c1NCc1ccc(C)s1,CCOC(=O)CC1C2CCCC1C1=CC(NC(=O)OCC(=O)[O-])=C(Cl)C=C(O1)C2=O,CCn1cc(C)[nH+]c1NCc1ccc(C)s1.CCOC(=O)CC1C2CCCC1C1=CC(NC(=O)OCC(=O)[O-])=C(Cl)C=C(O1)C2=O
CC[NH+](C)CCC([NH3+])c1cccc(Cl)c1,COc1ccc(C(C)C)cc1CC1(C(=O)[O-])CCCC1,CC[NH+](C)CCC([NH3+])c1cccc(Cl)c1.COc1ccc(C(C)C)cc1CC1(C(=O)[O-])CCCC1
CCC(CC)(CCOc1ccc(CC[NH3+])cc1)NC1CCCCCC1,CCC=CCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCC=CCC=CCC=CCC=CCC=CCCCCC)COP(=O)([O-])OC(C)(CNCC[NH2+]CC(=O)[O-])COC(=O)CCCCCCC=CCCCCCCCCCC,CCC(CC)(CCOc1ccc(CC[NH3+])cc1)NC1CCCCCC1.CCC=CCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCC=CCC=CCC=CCC=CCC=CCCCCC)COP(=O)([O-])OC(C)(CNCC[NH2+]CC(=O)[O-])COC(=O)CCCCCCC=CCCCCCCCCCC
CCCC[NH+](CCCCC[NH2+]CCC)CCC(C)C,CCC(CC)(OC)c1nc2c(c(C3CC3)c1CC(C)C(=O)[O-])NCCC2,CCCC[NH+](CCCCC[NH2+]CCC)CCC(C)C.CCC(CC)(OC)c1nc2c(c(C3CC3)c1CC(C)C(=O)[O-])NCCC2
Cc1cc([N+](=O)[O-])ccc1NCCC[NH+](C)C,COc1ccc(CNC(=O)C(F)F)cc1NC(=O)C1CC(C)(C)Oc2cc(OC(=O)C(C)C(C)(F)F)c(C)c(C(=O)[O-])c21,Cc1cc([N+](=O)[O-])ccc1NCCC[NH+](C)C.COc1ccc(CNC(=O)C(F)F)cc1NC(=O)C1CC(C)(C)Oc2cc(OC(=O)C(C)C(C)(F)F)c(C)c(C(=O)[O-])c21
Cc1ccc(O)c2c1N=C(CCCNC(=O)C[NH+](CCC[NH+](CC=O)CCN(C)C)CC(C)CC(C)C)CC2,CCCCCCC(CC(=O)[O-])OCCCF,Cc1ccc(O)c2c1N=C(CCCNC(=O)C[NH+](CCC[NH+](CC=O)CCN(C)C)CC(C)CC(C)C)CC2.CCCCCCC(CC(=O)[O-])OCCCF
CC[NH+](CC)CCNc1nc2cc(C#N)ccc2o1,CC1(C)NC2=NC(C3CC3)=NC(C(=O)[O-])(C1=O)C(C(N)=O)C(C)(C)OC2(C)C,CC[NH+](CC)CCNc1nc2cc(C#N)ccc2o1.CC1(C)NC2=NC(C3CC3)=NC(C(=O)[O-])(C1=O)C(C(N)=O)C(C)(C)OC2(C)C
C[NH+]=C(NCC[NH+](C)CCCS(C)(=O)=O)NCc1cccc(C)c1,CC(=O)NC(CC(=O)[O-])C(=O)NC(CCC(=O)[O-])C(=O)N1CCCC1C(=O)NC(CO)c1ccccc1,C[NH+]=C(NCC[NH+](C)CCCS(C)(=O)=O)NCc1cccc(C)c1.CC(=O)NC(CC(=O)[O-])C(=O)NC(CCC(=O)[O-])C(=O)N1CCCC1C(=O)NC(CO)c1ccccc1
CCCCc1c(C)n(-c2ccccc2)c2ccc(O)c(C[NH+](C)CCC[NH+](C)C)c12,O=C([O-])C[NH+]1CCCCC1c1nc[nH]c1C(=O)[O-],CCCCc1c(C)n(-c2ccccc2)c2ccc(O)c(C[NH+](C)CCC[NH+](C)C)c12.O=C([O-])C[NH+]1CCCCC1c1nc[nH]c1C(=O)[O-]
Cc1ccc(CC[NH2+]Cc2cccc(CC[NH+](C)C)c2)cc1,O=C([O-])c1cc2c(c(Cc3cc(Cl)c(O)c(O)c3O)c1O)OC2O,Cc1ccc(CC[NH2+]Cc2cccc(CC[NH+](C)C)c2)cc1.O=C([O-])c1cc2c(c(Cc3cc(Cl)c(O)c(O)c3O)c1O)OC2O
CCC(=CC(=CC=C(C)[NH+](C)C)N(CC)CC)Oc1cc2ccccc2cc1OCC[NH+](CC)CC,CC(C)(C)OC(=O)N1CCC(C)(c2ccc(CC3(O)CC(O)S(=O)(=O)C3)cc2)C(C(=O)[O-])C1,CCC(=CC(=CC=C(C)[NH+](C)C)N(CC)CC)Oc1cc2ccccc2cc1OCC[NH+](CC)CC.CC(C)(C)OC(=O)N1CCC(C)(c2ccc(CC3(O)CC(O)S(=O)(=O)C3)cc2)C(C(=O)[O-])C1
CCCC[NH+](CC(C)C)C1(c2ccc(C)cc2)COC1,O=C([O-])c1cn[nH]c1C1C(C(=O)[O-])C1(C(=O)[O-])C(=O)[O-],CCCC[NH+](CC(C)C)C1(c2ccc(C)cc2)COC1.O=C([O-])c1cn[nH]c1C1C(C(=O)[O-])C1(C(=O)[O-])C(=O)[O-]
CC[NH+](CC)CCCC[NH+](CC)CC(C)C,Cc1nn(C)c2sc(C(=O)N3CCCC(C(=O)[O-])C3)cc12,CC[NH+](CC)CCCC[NH+](CC)CC(C)C.Cc1nn(C)c2sc(C(=O)N3CCCC(C(=O)[O-])C3)cc12
CC[NH+](CC)CCC[NH+](CC)CCc1ccc(Br)cc1,CCCN(C(=O)NC1(C(=O)[O-])CCCC1)C1CC1,CC[NH+](CC)CCC[NH+](CC)CCc1ccc(Br)cc1.CCCN(C(=O)NC1(C(=O)[O-])CCCC1)C1CC1
CCCC[NH+](CC)CC[NH2+]Cc1ccnc2ccccc12,COc1c(C)c(Cl)cc(CNC(=O)C2(C(=O)c3ccc(C(=O)[O-])cc3C)CCN(C(=O)c3cccnc3OC3CCNC3=O)CC2)c1C,CCCC[NH+](CC)CC[NH2+]Cc1ccnc2ccccc12.COc1c(C)c(Cl)cc(CNC(=O)C2(C(=O)c3ccc(C(=O)[O-])cc3C)CCN(C(=O)c3cccnc3OC3CCNC3=O)CC2)c1C
C=C(NOCC[NH+](CC)CC)c1ccc2nc[nH]c2c1,NCCCCCCCc1nc(COCCOC(=O)[O-])c(C(=O)[O-])s1,C=C(NOCC[NH+](CC)CC)c1ccc2nc[nH]c2c1.NCCCCCCCc1nc(COCCOC(=O)[O-])c(C(=O)[O-])s1
CCCCCCCCCCC(O)C[NH+](CCCC)CN(CCCCCCC(C)C)CC(N)=O,CCCCCC=CCC=CCC=CCC=CCCCC(=O)[O-],CCCCCCCCCCC(O)C[NH+](CCCC)CN(CCCCCCC(C)C)CC(N)=O.CCCCCC=CCC=CCC=CCC=CCCCC(=O)[O-]
Cc1ccc(NCCCC[NH+](C)C)c(Br)c1,C=C1CC2(O)CCC(C)N(C(=O)NC(C(=O)N(C)C)c3ccccc3)C(C3(C)CCCCC3(C)C(=O)[O-])C2C1CCC(=O)[O-],Cc1ccc(NCCCC[NH+](C)C)c(Br)c1.C=C1CC2(O)CCC(C)N(C(=O)NC(C(=O)N(C)C)c3ccccc3)C(C3(C)CCCCC3(C)C(=O)[O-])C2C1CCC(=O)[O-]
CC[NH+](CCCOc1cccc(C(=O)NN)c1)CC(C)C,CCOC(CCOC(=O)c1ccc(NC(=O)CC(CC(C)C)C(=O)[O-])cc1)OC(=O)CCC1CCCCC1,CC[NH+](CCCOc1cccc(C(=O)NN)c1)CC(C)C.CCOC(CCOC(=O)c1ccc(NC(=O)CC(CC(C)C)C(=O)[O-])cc1)OC(=O)CCC1CCCCC1
CCCc1ccc(C[NH+](C)CCO)c(C)c1,C=C(CF)Oc1ccc(C(C)(C)C)cc1CC(=O)OC(C)C(=O)Nc1cccc(C(=O)[O-])c1OCC,CCCc1ccc(C[NH+](C)CCO)c(C)c1.C=C(CF)Oc1ccc(C(C)(C)C)cc1CC(=O)OC(C)C(=O)Nc1cccc(C(=O)[O-])c1OCC
O=C(NCCC1=CCCCC1)c1ccn(C2CCC[NH2+]C2)n1,Cc1ccc(S(=O)(=O)OCCCc2ccccc2)c(C(=O)[O-])c1,O=C(NCCC1=CCCCC1)c1ccn(C2CCC[NH2+]C2)n1.Cc1ccc(S(=O)(=O)OCCCc2ccccc2)c(C(=O)[O-])c1
CCCC[NH+](CC)CC(C)(CC)C(O)c1cccc(C[NH+](C)CCC)c1,CNC(=O)C1C(C(=O)[O-])CC(C(=O)[O-])C1c1cccc(Cl)c1Cl,CCCC[NH+](CC)CC(C)(CC)C(O)c1cccc(C[NH+](C)CCC)c1.CNC(=O)C1C(C(=O)[O-])CC(C(=O)[O-])C1c1cccc(Cl)c1Cl
CC[NH+](CC)CCC[NH+](CC)C1CCOC(C)(C)C1,CC(C)(CC(=O)[O-])c1cc(-c2ccccc2)n(CC(=O)[O-])n1,CC[NH+](CC)CCC[NH+](CC)C1CCOC(C)(C)C1.CC(C)(CC(=O)[O-])c1cc(-c2ccccc2)n(CC(=O)[O-])n1
COCC[NH+]=C(N(C)C)[NH+](C)C,CN(C(=O)OC(COCC(=O)[O-])C(C)(C)C1OCOC1C(Cl)=C(C#N)NC(C)(C)C)C(=O)C(CC(=O)[O-])NC(=O)OC(C)(C)C,COCC[NH+]=C(N(C)C)[NH+](C)C.CN(C(=O)OC(COCC(=O)[O-])C(C)(C)C1OCOC1C(Cl)=C(C#N)NC(C)(C)C)C(=O)C(CC(=O)[O-])NC(=O)OC(C)(C)C
CCCC[NH+](CCCC)CC(C)NS(=O)(=O)Cc1ccc(-n2cccn2)cc1,CC(C)CC(NC(=O)C(CC(=O)[O-])NC(=O)C(CCC(=O)[O-])NC(=O)C([NH3+])CCC[NH+]=C(N)N)C(=O)[O-],CCCC[NH+](CCCC)CC(C)NS(=O)(=O)Cc1ccc(-n2cccn2)cc1.CC(C)CC(NC(=O)C(CC(=O)[O-])NC(=O)C(CCC(=O)[O-])NC(=O)C([NH3+])CCC[NH+]=C(N)N)C(=O)[O-]
CC(C)CCCC[NH+](CCCCCCS)CCOCCO,O=C(Cc1ccc2c(c1)CNCCN2C(=O)[O-])OCC(CO)OC1CCC(O)(O)CC1,CC(C)CCCC[NH+](CCCCCCS)CCOCCO.O=C(Cc1ccc2c(c1)CNCCN2C(=O)[O-])OCC(CO)OC1CCC(O)(O)CC1
C=CC[NH+](CC=C)CCC[NH2+]CC(C)C,CC(C)(C)c1ccc(NCC(=O)NC(CC(=O)[O-])C(=O)CCCCCCCC2C(CN(CCCCC(=O)[O-])C(=O)[O-])CCC2(O)O)cc1,C=CC[NH+](CC=C)CCC[NH2+]CC(C)C.CC(C)(C)c1ccc(NCC(=O)NC(CC(=O)[O-])C(=O)CCCCCCCC2C(CN(CCCCC(=O)[O-])C(=O)[O-])CCC2(O)O)cc1
